,In-sample Accuracy,Out-of-sample Accuracy,Training Time (s)
Logistic Regression,0.91538764266037,0.9201101928374655,2.8507394790649414
SVM,0.8890200708382526,0.898989898989899,0.8551843166351318
CART,1.0,0.8567493112947658,0.12859058380126953
Random Forest,1.0,0.90633608815427,2.825145721435547
Gradient Boosting,0.9382133018496654,0.9044995408631772,3.9495794773101807
Neural Network,0.983077528532074,0.8943985307621671,61.05953025817871
