Dataset,Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Training Time (seconds)
Before 2nd sem without tuition,LightGBM,0.9921290830381739,0.8898071625344353,0.889509517320204,0.8898071625344353,0.8889336168304339,0.05012822151184082
Before 2nd sem without tuition,XGBoost,1.0,0.8769513314967861,0.8763834838902395,0.8769513314967861,0.8760481114083172,0.0654904842376709
Before 1st sem without tuition,Logistic Regression,0.7312081857536403,0.7254361799816346,0.7213544648362067,0.7254361799816346,0.7223306748881105,0.21573853492736816
Before 1st sem without tuition,Lasso,0.721763085399449,0.7263544536271809,0.7228190830501519,0.7263544536271809,0.7238567970426457,0.05099368095397949
Before 1st sem without tuition,Support Vector Classifier,0.6985438803620622,0.6868686868686869,0.6777878452297057,0.6868686868686869,0.6763037165613655,0.18611407279968262
Before 1st sem without tuition,CART,1.0,0.6730945821854912,0.6784729789835419,0.6730945821854912,0.6752080406512292,0.016102313995361328
Before 1st sem without tuition,Random Forest,1.0,0.7456382001836547,0.7455201844498989,0.7456382001836547,0.7455785526731878,0.2959022521972656
Before 1st sem without tuition,LightGBM,0.953168044077135,0.7529843893480257,0.7526455160622556,0.7529843893480257,0.752809123282818,0.05014181137084961
Before 1st sem without tuition,XGBoost,0.9992129083038174,0.7318640955004592,0.7296470664220396,0.7318640955004592,0.7305027782141187,0.0695044994354248
During 2nd sem without tuition,Logistic Regression,0.8717040535222353,0.8953168044077136,0.8951171531563213,0.8953168044077136,0.8944869359889122,0.24884510040283203
During 2nd sem without tuition,Lasso,0.8685556867375049,0.8925619834710744,0.8924315587109952,0.8925619834710744,0.8916139363068442,0.07426261901855469
During 2nd sem without tuition,Support Vector Classifier,0.8575364029909485,0.8604224058769513,0.8655869449095831,0.8604224058769513,0.8562733767833546,0.12376904487609863
During 2nd sem without tuition,CART,1.0,0.8034894398530762,0.8052115958547319,0.8034894398530762,0.8041736250671421,0.015610694885253906
During 2nd sem without tuition,Random Forest,1.0,0.8870523415977961,0.8875058791910233,0.8870523415977961,0.8856284556557588,0.30055737495422363
During 2nd sem without tuition,LightGBM,0.9944903581267218,0.8898071625344353,0.8894013554560076,0.8898071625344353,0.8890620603977275,0.061873674392700195
During 2nd sem without tuition,XGBoost,1.0,0.8714416896235078,0.8708173978664792,0.8714416896235078,0.8704225529688397,0.07813572883605957
During 1st sem without tuition,Logistic Regression,0.7563951200314837,0.7483930211202938,0.7445997470609278,0.7483930211202938,0.7449707010378099,0.2076244354248047
During 1st sem without tuition,Lasso,0.7500983864620229,0.7456382001836547,0.7424389333010646,0.7456382001836547,0.7432388773670442,0.06334996223449707
During 1st sem without tuition,Support Vector Classifier,0.7166469893742621,0.7098255280073462,0.7032358325204824,0.7098255280073462,0.6973747635904376,0.18648529052734375
During 1st sem without tuition,CART,1.0,0.660238751147842,0.6639373128356418,0.660238751147842,0.6618213739742635,0.009390592575073242
During 1st sem without tuition,Random Forest,1.0,0.7566574839302111,0.754962395918079,0.7566574839302111,0.7556201410209038,0.29657912254333496
During 1st sem without tuition,LightGBM,0.9543486816214088,0.761248852157943,0.7604102731858301,0.761248852157943,0.7607874558522603,0.04625654220581055
During 1st sem without tuition,XGBoost,0.9980322707595435,0.7493112947658402,0.7485302854537725,0.7493112947658402,0.7488891663416372,0.06355667114257812
